Course_ID,Course_Feature_0,Course_Feature_1,Course_Feature_2,Course_Feature_3,Course_Feature_4,Course_Feature_5,Course_Feature_6,Course_Feature_7,Course_Feature_8,Course_Feature_9,Course_Feature_10,Course_Feature_11,Course_Feature_12,Course_Feature_13,Course_Feature_14,Course_Feature_15
SC0105EN,0.15469594,-0.0017492801,-0.1432341,-0.22923036,-0.017849987,-0.045195494,0.061906185,-0.029287128,-0.1441178,0.017103719,0.09969415,-0.10837577,0.030289644,0.11743218,-0.12319848,-0.058795348
RP0103,-0.041030027,-0.005640812,-0.061233636,-0.03906523,-0.07990689,0.030899161,0.1337868,-0.19609877,0.12944058,-0.17152987,-0.09289189,-0.16275343,-0.14468352,-0.08696844,0.024308324,-0.16144072
WA0101EN,0.1500836,-0.08514657,-0.25661936,-0.15463708,0.13495523,0.055154905,0.11371932,-0.10920382,0.02092087,-0.19704065,0.10484827,-0.14124508,-0.063829266,-0.13491035,0.1421691,-0.22856104
RAVSCTEST1,-0.14421058,0.08682723,-0.0899992,0.0319191,0.18644075,-0.035431378,0.0801534,0.047555108,-0.08752717,0.16108201,-0.050261807,-0.061126456,-0.2009092,-0.05065623,0.0009898514,0.033594206
RP0151EN,0.0091357175,-0.23133472,0.1254382,-0.004743635,-0.040063348,0.10379758,0.04913743,0.09000622,-0.17859437,0.0074770423,0.20719802,-0.10653231,0.029234165,0.008554061,-0.047918893,0.02766704
CO0401EN,0.06374924,-0.029477118,0.097921655,0.06306438,-0.08620617,-0.0034567101,-0.19833605,0.15845537,0.03256445,0.12512432,-0.019448254,0.2651275,0.09832242,0.04206885,-0.0486318,0.09572508
SC0103EN,-0.12510988,0.00922926,0.025541263,-0.02963017,0.036850296,-0.029940682,-0.233804,0.09790738,-0.15913382,-0.2910789,-0.018807244,0.04348744,0.043162577,-0.038638998,-0.18982786,-0.14491563
LB0111EN,-0.13728349,-0.045892578,0.0010743595,-0.05493973,0.005746764,-0.13018142,-0.13613139,-0.021784656,0.08244568,-0.13164611,-0.22635438,0.0049101147,0.004651131,-0.070108555,0.23675066,0.08851867
DS0132EN,-0.012789352,-0.1225977,0.09804523,0.008896177,0.102718286,0.20880733,-0.14735404,-0.226418,0.077070236,-0.14077963,-0.110127516,0.059634026,-0.035934675,0.10500016,0.028035482,0.00038872482
CB0105ENv1,0.18958794,0.20182367,0.05516858,0.031965002,-0.05845355,0.077930465,-0.031430244,-0.0005962996,0.0021208643,-0.098867156,0.10218253,-0.19120024,-0.051182155,-0.24467586,-0.24790354,-0.06146626
